trade_num,entry_time,exit_time,symbol,side,entry,sl,tp,exit,outcome,sl_pips,r_multiple,risk_amount,pnl,balance,bars_held,comment
51,2025-09-04 08:20:00,2025-09-04 08:30:00,EURUSD,BUY,1.16434,1.16411,1.1647999999999998,1.16411,LOSS,22.999999999995243,-1.0,71.87106098984107,-71.87106098984107,14302.341136978373,2,Bullish ICT: Sweep+BOS+FVG (Disp=38.0p)
52,2025-09-04 08:25:00,2025-09-04 08:30:00,EURUSD,BUY,1.16434,1.16411,1.1647999999999998,1.16411,LOSS,22.999999999995243,-1.0,71.51170568489187,-71.51170568489187,14230.829431293481,1,Bullish ICT: Sweep+BOS+FVG (Disp=38.0p)
53,2025-09-10 08:10:00,2025-09-10 08:15:00,EURUSD,BUY,1.16996,1.16957,1.1707400000000003,1.16957,LOSS,39.00000000001125,-1.0,71.1541471564674,-71.1541471564674,14159.675284137014,1,Bullish ICT: Sweep+BOS+FVG (Disp=66.0p)
54,2025-09-11 08:40:00,2025-09-11 09:55:00,EURUSD,BUY,1.1689,1.16634,1.1740200000000003,1.1740200000000003,WIN,256.00000000001177,2.0,70.79837642068507,141.59675284137015,14301.272036978384,15,Bullish ICT: Sweep+BOS+FVG (Disp=240.0p)
55,2025-09-11 08:45:00,2025-09-11 09:55:00,EURUSD,BUY,1.1689,1.16634,1.1740200000000003,1.1740200000000003,WIN,256.00000000001177,2.0,71.50636018489192,143.01272036978384,14444.284757348167,14,Bullish ICT: Sweep+BOS+FVG (Disp=240.0p)
56,2025-09-24 08:35:00,2025-09-24 08:40:00,EURUSD,SELL,1.17534,1.1757600000000001,1.1744999999999999,1.1744999999999999,WIN,42.0000000000087,2.0,72.22142378674083,144.44284757348166,14588.727604921649,1,Bearish ICT: Sweep+BOS+FVG (Disp=78.0p)
57,2025-10-17 07:05:00,2025-10-17 07:10:00,EURUSD,SELL,1.16952,1.17016,1.1682399999999995,1.1682399999999995,WIN,64.0000000000196,2.0,72.94363802460825,145.8872760492165,14734.614880970865,1,Bearish ICT: Sweep+BOS+FVG (Disp=79.0p)
58,2025-10-17 07:10:00,2025-10-17 07:55:00,EURUSD,SELL,1.16952,1.17016,1.1682399999999995,1.1682399999999995,WIN,64.0000000000196,2.0,73.67307440485432,147.34614880970864,14881.961029780574,9,Bearish ICT: Sweep+BOS+FVG (Disp=79.0p)
59,2025-10-28 12:00:00,2025-10-28 12:05:00,EURUSD,BUY,1.16561,1.1653799999999999,1.1660700000000004,1.1660700000000004,WIN,23.000000000017447,2.0,74.40980514890288,148.81961029780575,15030.78064007838,1,Bullish ICT: Sweep+BOS+FVG (Disp=84.0p)
60,2025-11-05 08:20:00,2025-11-05 08:25:00,EURUSD,SELL,1.14916,1.1493300000000002,1.1488199999999995,1.1488199999999995,WIN,17.000000000022553,2.0,75.1539032003919,150.3078064007838,15181.088446479163,1,Bearish ICT: Sweep+BOS+FVG (Disp=31.0p)
